topN,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
90,25.145474672317505,3669,6,2.0,,,
90,24.523184776306152,3628,6,1.0,,,
90,25.0170681476593,3668,26,7.0,,,
90,23.8253231048584,3667,30,6.0,,,
90,23.855109214782715,3667,16,5.0,,,
90,23.89646053314209,3627,0,0.0,,,
90,24.05463171005249,3667,10,3.0,,,
100,23.891695261001587,3668,16,4.0,,,
100,23.83465266227722,3669,10,3.0,,,
100,23.601447582244873,3628,1,1.0,,,
100,23.87265396118164,3668,55,11.0,,,
100,24.331274271011353,3670,13,2.0,,,
100,24.06424832344055,3668,21,4.0,,,
100,24.317370891571045,3627,24,3.0,,,
100,25.051635026931763,3668,23,4.0,,,
100,24.867204189300537,3669,19,4.0,,,
100,23.8974871635437,3666,16,2.0,,,
100,23.654605627059937,3615,15,4.0,,,
100,24.176185131072998,3667,29,6.0,,,
200,24.086652994155884,3668,22,6.0,,,
200,23.86358332633972,3667,26,3.0,,,
200,23.514448642730713,3626,22,3.0,,,
200,23.889623641967773,3667,6,1.0,,,
200,23.94362783432007,3669,13,3.0,,,
200,23.796295404434204,3667,18,4.0,,,
200,23.912756204605103,3667,26,5.0,,,
200,24.481547832489014,3668,40,6.0,,,
200,23.956050634384155,3667,18,3.0,,,
200,23.914684534072876,3669,59,13.0,,,
200,23.590492486953735,3627,8,1.0,,,
200,24.220545530319214,3709,51,10.0,,,
,,,,,,,"End of iteration for  topN value 200
"
1,24.388803958892822,3668,4,1.0,,,
1,23.707487106323242,3628,21,4.0,,,
1,23.859967947006226,3628,44,8.0,,,
1,23.989540576934814,3667,3,1.0,,,
1,24.024988651275635,3667,22,5.0,,,
1,24.39923882484436,3707,29,6.0,,,
1,24.092448234558105,3668,17,4.0,,,
1,23.93813991546631,3651,69,14.0,,,
1,24.184861183166504,3667,9,2.0,,,
1,24.02547836303711,3666,28,7.0,,,
1,24.007187366485596,3627,1,1.0,,,
1,25.181063175201416,3667,10,3.0,,,
5,24.170193433761597,3649,50,9.0,,,
5,24.258175373077393,3667,5,1.0,,,
5,23.947590827941895,3628,0,0.0,,,
5,24.364870071411133,3689,13,3.0,,,
5,24.110837697982788,3667,19,4.0,,,
5,24.097825288772583,3668,22,5.0,,,
5,23.889309406280518,3626,4,3.0,,,
5,24.008774518966675,3657,21,6.0,,,
5,24.107555389404297,3669,14,3.0,,,
5,24.118717193603516,3671,8,2.0,,,
5,23.85289454460144,3630,0,0.0,,,
5,24.131774425506592,3668,18,6.0,,,
10,24.155652046203613,3668,11,3.0,,,
10,23.984665632247925,3667,21,6.0,,,
10,23.89679455757141,3629,0,0.0,,,
10,24.08766746520996,3667,35,7.0,,,
10,24.446747541427612,3708,28,5.0,,,
10,24.115482568740845,3668,0,0.0,,,
10,23.90133500099182,3628,18,3.0,,,
10,23.999967098236084,3627,6,2.0,,,
10,24.069559574127197,3668,30,7.0,,,
10,24.04857325553894,3668,23,5.0,,,
10,23.862184047698975,3628,9,2.0,,,
10,23.876108646392822,3627,13,3.0,,,
20,24.128520488739014,3667,23,5.0,,,
20,24.04228973388672,3668,8,2.0,,,
20,23.789113521575928,3628,0,0.0,,,
20,23.92880344390869,3650,25,6.0,,,
20,24.082860231399536,3668,27,5.0,,,
20,24.116793155670166,3667,40,8.0,,,
20,23.72059965133667,3628,5,2.0,,,
20,23.835625648498535,3627,0,0.0,,,
20,24.036625623703003,3667,28,4.0,,,
20,24.090393781661987,3669,15,4.0,,,
20,23.92838740348816,3629,9,2.0,,,
20,23.94207453727722,3626,6,1.0,,,
30,23.871503114700317,3627,31,9.0,,,
30,24.267677307128906,3666,23,6.0,,,
30,23.900681972503662,3628,0,0.0,,,
30,24.06004524230957,3652,22,5.0,,,
30,24.01196599006653,3653,29,6.0,,,
30,24.27426791191101,3666,17,4.0,,,
30,23.9303936958313,3629,6,1.0,,,
30,24.200766801834106,3669,21,4.0,,,
30,24.15997815132141,3667,11,3.0,,,
30,24.15377926826477,3667,6,2.0,,,
30,24.04266119003296,3665,26,6.0,,,
30,23.835537910461426,3628,36,8.0,,,
40,24.0153865814209,3666,33,6.0,,,
40,24.035635232925415,3667,20,4.0,,,
40,23.810086727142334,3627,14,5.0,,,
40,23.84304666519165,3650,23,4.0,,,
40,24.090961456298828,3667,6,1.0,,,
40,24.055858850479126,3669,8,1.0,,,
40,24.034305810928345,3666,37,7.0,,,
40,24.25230622291565,3668,8,3.0,,,
40,24.082868337631226,3669,30,6.0,,,
40,24.557565212249756,3707,36,9.0,,,
40,23.76655077934265,3629,6,2.0,,,
40,23.82352924346924,3629,0,0.0,,,
50,24.03632426261902,3667,21,4.0,,,
50,23.847795486450195,3627,3,1.0,,,
50,23.446199655532837,3587,21,3.0,,,
50,24.11058783531189,3667,7,2.0,,,
50,24.13259220123291,3667,11,4.0,,,
50,24.046788215637207,3668,16,3.0,,,
50,23.869498252868652,3627,20,3.0,,,
50,24.205403327941895,3668,4,2.0,,,
50,24.270612239837646,3696,40,11.0,,,
50,24.12525486946106,3669,7,3.0,,,
50,24.06882905960083,3628,11,2.0,,,
50,24.073989629745483,3667,10,2.0,,,
60,24.064323663711548,3666,12,3.0,,,
60,24.03036594390869,3667,5,1.0,,,
60,23.772375106811523,3627,3,1.0,,,
60,23.99924945831299,3668,34,6.0,,,
60,24.03006076812744,3669,24,5.0,,,
60,23.994443655014038,3669,9,3.0,,,
60,23.75539469718933,3628,15,2.0,,,
60,24.0240159034729,3669,57,11.0,,,
60,24.152945280075073,3668,0,0.0,,,
60,24.189637422561646,3666,7,3.0,,,
60,23.778084754943848,3628,1,1.0,,,
60,24.193280696868896,3658,17,3.0,,,
70,24.099451303482056,3667,20,4.0,,,
70,24.066337823867798,3666,25,5.0,,,
70,23.753119945526123,3628,0,0.0,,,
70,24.163867712020874,3668,1,1.0,,,
70,24.12416124343872,3667,22,5.0,,,
70,24.16459822654724,3668,34,8.0,,,
70,24.193880081176758,3667,68,12.0,,,
70,23.961817979812622,3628,2,1.0,,,
70,23.94223380088806,3667,25,5.0,,,
70,24.221001863479614,3668,20,6.0,,,
70,23.951783418655396,3628,17,4.0,,,
70,24.132776260375977,3667,13,2.0,,,
80,23.950693130493164,3650,23,7.0,,,
80,24.12234330177307,3668,6,2.0,,,
80,23.81790041923523,3626,10,2.0,,,
80,24.06513261795044,3667,15,4.0,,,
80,24.044198274612427,3667,17,3.0,,,
80,24.16807746887207,3668,14,3.0,,,
80,23.81057643890381,3628,0,0.0,,,
80,24.12745213508606,3671,23,4.0,,,
80,24.120153188705444,3668,13,4.0,,,
80,24.0665864944458,3667,25,5.0,,,
80,23.81407356262207,3628,19,4.0,,,
80,23.90457272529602,3646,67,16.0,,,
90,24.138309001922607,3667,19,3.0,,,
90,24.10379910469055,3667,17,5.0,,,
90,23.80016851425171,3628,0,0.0,,,
90,24.035932064056396,3668,18,3.0,,,
90,24.024843454360962,3669,35,9.0,,,
90,24.1599338054657,3669,5,1.0,,,
90,23.838892698287964,3628,5,1.0,,,
90,24.12828278541565,3668,23,7.0,,,
90,24.04997682571411,3667,22,6.0,,,
90,24.296733379364014,3667,10,4.0,,,
90,23.96004009246826,3627,0,0.0,,,
90,24.040997743606567,3667,10,3.0,,,
100,24.184425354003906,3668,14,3.0,,,
100,24.1224467754364,3669,7,2.0,,,
100,23.903956413269043,3628,0,0.0,,,
100,24.00001358985901,3668,50,10.0,,,
100,24.019877433776855,3670,13,2.0,,,
100,23.924092769622803,3668,19,4.0,,,
100,23.82650899887085,3627,21,3.0,,,
100,23.991461277008057,3668,21,4.0,,,
100,24.03961706161499,3669,14,4.0,,,
100,24.227478742599487,3666,14,2.0,,,
100,23.67363452911377,3615,14,4.0,,,
100,24.157992601394653,3667,25,6.0,,,
200,24.10313868522644,3668,17,4.0,,,
200,24.215272665023804,3667,23,3.0,,,
200,23.948864936828613,3626,19,3.0,,,
200,24.18233299255371,3667,6,1.0,,,
200,24.03117275238037,3669,13,3.0,,,
200,23.98113203048706,3667,16,4.0,,,
200,24.187687873840332,3667,24,5.0,,,
200,24.121758460998535,3668,39,6.0,,,
200,23.95711612701416,3667,16,3.0,,,
200,24.039031267166138,3669,54,10.0,,,
