β,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
0.3,24.42530107498169,3542,22,11.0,,,
0.3,25.576321125030518,3567,2,2.0,,,
0.3,23.810959339141846,3565,6,4.0,,,
0.3,23.620267629623413,3573,6,3.0,,,
0.3,33.81739091873169,5123,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 1, β value 0.3
"
0.5,23.22446632385254,3570,13,6.0,,,
0.5,23.199771881103516,3545,2,1.0,,,
0.5,23.22196888923645,3562,9,4.0,,,
0.5,22.84621787071228,3523,18,6.0,,,
0.5,23.349921941757202,3570,13,8.0,,,
0.5,23.173813581466675,3567,12,7.0,,,
0.5,23.341946125030518,3560,20,7.0,,,
0.5,23.5561261177063,3610,3,2.0,,,
0.5,23.88256812095642,3530,9,5.0,,,
0.5,23.135743379592896,3544,4,2.0,,,
0.5,22.9207980632782,3531,5,4.0,,,
0.5,23.008562803268433,3545,8,4.0,,,
0.5,32.686612367630005,5032,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 1, β value 0.5
"
0.8,23.113210439682007,3512,3,1.0,,,
0.8,23.041314840316772,3533,18,10.0,,,
0.8,22.839155912399292,3505,6,4.0,,,
0.8,23.029971599578857,3550,14,4.0,,,
0.8,23.159437894821167,3566,3,2.0,,,
0.8,23.341681718826294,3585,4,3.0,,,
0.8,22.959217309951782,3520,8,5.0,,,
0.8,23.269728183746338,3565,13,4.0,,,
0.8,23.24578881263733,3570,1,1.0,,,
0.8,23.446468830108643,3605,7,4.0,,,
0.8,22.921422719955444,3528,13,7.0,,,
0.8,23.049572706222534,3541,5,3.0,,,
0.8,32.71677350997925,5038,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 1, β value 0.8
"
1,22.973866939544678,3537,8,4.0,,,
1,23.030688285827637,3542,7,3.0,,,
1,22.74828052520752,3501,5,4.0,,,
1,23.963123321533203,3537,3,1.0,,,
1,23.714048624038696,3587,12,3.0,,,
1,23.1705060005188,3545,10,4.0,,,
1,23.900220155715942,3548,4,3.0,,,
1,23.617180347442627,3545,5,2.0,,,
1,23.88214612007141,3603,8,4.0,,,
1,26.704972982406616,3570,1,1.0,,,
1,26.689767122268677,3563,5,2.0,,,
1,26.583449125289917,3605,6,3.0,,,
1,39.01353144645691,5100,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 1, β value 1
"
2,26.388318300247192,3535,13,5.0,,,
2,26.27157187461853,3574,13,4.0,,,
2,25.8952534198761,3525,11,5.0,,,
2,26.866921186447144,3523,11,5.0,,,
2,26.23289203643799,3610,3,3.0,,,
2,26.34759759902954,3608,10,6.0,,,
2,26.13431715965271,3533,13,7.0,,,
2,26.007736206054688,3586,3,2.0,,,
2,25.634223222732544,3572,25,8.0,,,
2,26.286298513412476,3610,4,2.0,,,
2,25.479327917099,3524,14,7.0,,,
2,26.668126106262207,3574,4,3.0,,,
2,37.956594705581665,5081,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 1, β value 2
"
3,26.21720051765442,3620,3,3.0,,,
3,26.369624853134155,3605,19,6.0,,,
3,25.909727573394775,3544,1,1.0,,,
3,25.86273431777954,3567,4,2.0,,,
3,26.272494554519653,3583,1,1.0,,,
3,26.824551582336426,3603,15,5.0,,,
3,25.683340787887573,3581,3,1.0,,,
3,27.2172212600708,3608,4,3.0,,,
3,26.531309604644775,3622,25,7.0,,,
3,27.624293327331543,3646,5,5.0,,,
3,26.06598162651062,3544,4,1.0,,,
3,26.736375331878662,3544,2,2.0,,,
3,26.866355895996094,3576,7,2.0,,,
3,25.683146238327026,3540,17,6.0,,,
3,25.834588527679443,3528,3,1.0,,,
3,26.81895875930786,3580,10,4.0,,,
3,27.126192808151245,3580,7,4.0,,,
3,27.98415994644165,3615,0,0.0,,,
3,27.748271226882935,3576,4,3.0,,,
3,27.570801734924316,3551,22,10.0,,,
3,27.51328682899475,3569,6,5.0,,,
3,26.470762729644775,3537,2,1.0,,,
3,26.373528480529785,3568,5,3.0,,,
3,26.152307748794556,3582,2,1.0,,,
3,39.32828116416931,5096,2,1.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 3
"
4,26.49136447906494,3565,9,3.0,,,
4,27.163081645965576,3605,0,0.0,,,
4,25.82289695739746,3566,18,7.0,,,
4,25.665140867233276,3536,7,5.0,,,
4,26.823495626449585,3585,3,3.0,,,
4,26.5078866481781,3564,9,7.0,,,
4,26.982853412628174,3582,23,7.0,,,
4,26.987467527389526,3580,14,5.0,,,
4,27.71383500099182,3561,15,3.0,,,
4,25.780375242233276,3591,8,4.0,,,
4,26.00308322906494,3577,1,1.0,,,
4,26.737438678741455,3570,19,6.0,,,
4,38.22911357879639,5113,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 4
"
5,27.330036878585815,3585,0,0.0,,,
5,26.404425382614136,3608,10,1.0,,,
5,25.387962102890015,3515,10,4.0,,,
5,25.85232400894165,3586,15,9.0,,,
5,25.85673427581787,3601,8,6.0,,,
5,26.125974893569946,3617,15,9.0,,,
5,25.849007606506348,3608,7,4.0,,,
5,25.806642770767212,3581,4,2.0,,,
5,25.701858282089233,3583,5,3.0,,,
5,26.104642391204834,3570,5,3.0,,,
5,27.618850469589233,3607,1,1.0,,,
5,27.793887615203857,3609,17,8.0,,,
5,39.511452198028564,5112,1,1.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 5
"
6,27.140340328216553,3555,19,6.0,,,
6,26.815839529037476,3547,17,8.0,,,
6,27.000385999679565,3570,2,2.0,,,
6,26.239984273910522,3546,12,5.0,,,
6,26.90406107902527,3586,12,4.0,,,
6,27.645485639572144,3568,5,2.0,,,
6,27.190387725830078,3593,5,2.0,,,
6,26.057908296585083,3608,5,3.0,,,
6,25.561139345169067,3565,10,4.0,,,
6,25.835968255996704,3595,17,5.0,,,
6,26.117138862609863,3553,4,3.0,,,
6,26.24539613723755,3540,3,2.0,,,
6,36.77998161315918,5107,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 6
"
7,25.742992401123047,3584,4,3.0,,,
7,25.6811945438385,3586,6,4.0,,,
7,26.300509691238403,3528,3,2.0,,,
7,26.249438762664795,3581,15,5.0,,,
7,27.78982138633728,3584,6,5.0,,,
7,27.548641681671143,3585,7,5.0,,,
7,27.41491937637329,3585,5,3.0,,,
7,27.109562873840332,3586,7,2.0,,,
7,26.967743635177612,3609,1,1.0,,,
7,27.34986901283264,3627,2,2.0,,,
7,28.062009811401367,3567,17,8.0,,,
7,27.33874821662903,3604,7,5.0,,,
7,38.638986587524414,5102,1,1.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 7
"
8,26.77087950706482,3569,15,6.0,,,
8,26.334797620773315,3549,16,5.0,,,
8,26.315406560897827,3558,0,0.0,,,
8,26.75187611579895,3564,5,3.0,,,
8,27.08658266067505,3650,7,2.0,,,
8,27.337937116622925,3623,3,2.0,,,
8,26.240057945251465,3584,13,7.0,,,
8,27.180545568466187,3607,4,3.0,,,
8,27.01942205429077,3607,7,4.0,,,
8,26.771925687789917,3613,10,6.0,,,
8,25.868520498275757,3565,15,5.0,,,
8,26.370941638946533,3608,7,5.0,,,
8,37.61125612258911,5184,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 8
"
9,26.58132529258728,3564,17,7.0,,,
9,26.124168634414673,3577,0,0.0,,,
9,25.981988191604614,3565,7,4.0,,,
9,26.97398352622986,3545,7,2.0,,,
9,27.851285219192505,3611,23,8.0,,,
9,27.355833292007446,3610,6,3.0,,,
9,26.5189049243927,3605,2,1.0,,,
9,26.224966526031494,3563,17,5.0,,,
9,26.76533794403076,3572,6,4.0,,,
9,26.706974029541016,3631,16,4.0,,,
9,27.315533876419067,3585,10,5.0,,,
9,25.94413948059082,3581,9,7.0,,,
9,38.012507915496826,5208,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 9
"
12,26.35659098625183,3574,5,3.0,,,
12,26.242743968963623,3582,5,3.0,,,
12,26.907055854797363,3562,4,2.0,,,
12,26.985864400863647,3609,17,7.0,,,
12,26.439002752304077,3584,2,2.0,,,
12,26.279094457626343,3568,13,4.0,,,
12,26.893131494522095,3607,5,5.0,,,
12,26.220711946487427,3608,25,10.0,,,
12,26.700496912002563,3607,6,4.0,,,
12,27.261621952056885,3621,3,3.0,,,
12,26.36022639274597,3577,11,5.0,,,
12,26.142863035202026,3565,7,4.0,,,
12,37.423192262649536,5106,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 12
"
15,26.13821005821228,3557,1,1.0,,,
15,27.047316312789917,3616,10,4.0,,,
15,26.146207332611084,3602,2,2.0,,,
15,26.33646869659424,3560,10,4.0,,,
15,26.37125062942505,3609,15,4.0,,,
15,26.824004650115967,3629,15,4.0,,,
15,25.99011206626892,3564,7,3.0,,,
15,26.061856746673584,3561,15,9.0,,,
15,26.721347332000732,3569,9,5.0,,,
15,26.98362708091736,3612,2,1.0,,,
